REGIÃO ,PAÍS,CONSUMO DE PETRÓLEO em mil barris por dia,ANO
Europa,Turquia,748,0284384,2013
Europa,Ucrânia,255,5143233,2013
Europa,Outros,297,5641797,2013
Comunidade dos Estados Independentes,Azerbaijão,100,7533644,2013
Comunidade dos Estados Independentes,Belarus,143,2430685,2013
Comunidade dos Estados Independentes,Cazaquistão,260,4468248,2013
Comunidade dos Estados Independentes,Rússia,3133,730818,2013
Comunidade dos Estados Independentes,Turcomenistão,137,370137,2013
Comunidade dos Estados Independentes,Uzbequistão,60,10019178,2013
Comunidade dos Estados Independentes,Outros,78,14917025,2013
Oriente Médio,Arábia Saudita,3451,480439,2013
Oriente Médio,Catar,287,320074,2013
Oriente Médio,Coveite,516,9446502,2013
Oriente Médio,Emirados Árabes Unidos,852,1499783,2013
Oriente Médio,Irã,2019,504827,2013
Oriente Médio,Iraque,716,0407397,2013
Oriente Médio,Israel,222,6165825,2013
Oriente Médio,Omã,178,2465753,2013
Oriente Médio,Outros,623,609084,2013
África,África do Sul,560,525317,2013
África,África Central,253,8024282,2013
África,África Ocidental,586,914774,2013
África,África Oriental,484,2047304,2013
África,Argélia,387,4057808,2013
África,Egito,755,8616425,2013
África,Marrocos,281,7932583,2013
África,Outros Norte da África,347,2209523,2013
África,Outros Sul da África,53,8922416,2013
Ásia-Pacífico,Austrália,1011,666681,2013
Ásia-Pacífico,Bangladesh,107,6583233,2013
Ásia-Pacífico,China,10667,7602,2013
Ásia-Pacífico,Cingapura,1217,472187,2013
Ásia-Pacífico,Coreia do Sul,2455,414082,2013
Ásia-Pacífico,Hong Kong,351,5663742,2013
Ásia-Pacífico,Filipinas,316,4258317,2013
Ásia-Pacífico,Índia,3780,505313,2013
Ásia-Pacífico,Indonésia,1662,306136,2013
Ásia-Pacífico,Japão,4507,575828,2013
Ásia-Pacífico,Malásia,801,642423,2013
Ásia-Pacífico,Nova Zelândia,153,060404,2013
Ásia-Pacífico,Paquistão,441,9035931,2013
Ásia-Pacífico,Sri Lanka,82,03374373,2013
Ásia-Pacífico,Tailândia,1266,639558,2013
Ásia-Pacífico,Taiwan,981,1391262,2013
Ásia-Pacífico,Vietnã,397,8145483,2013
Ásia-Pacífico,Outros,356,9583603,2013
América do Norte,Canadá,2386,792135,2014
América do Norte,Estados Unidos,18136,21822,2014
América do Norte,México,1959,694886,2014
Américas Central e do Sul,Argentina,642,8369197,2014
Américas Central e do Sul,Brasil,2721,187982,2014
Américas Central e do Sul,Chile,353,0863675,2014
Américas Central e do Sul,Colômbia,315,2499736,2014
Américas Central e do Sul,Equador,260,1073034,2014
Américas Central e do Sul,Peru,216,4769456,2014
Américas Central e do Sul,Trinidad e Tobago,40,86330411,2014
Américas Central e do Sul,Venezuela,720,0131305,2014
Américas Central e do Sul,Outros,1150,260096,2014
Europa,Alemanha,2272,665479,2014
Europa,Áustria,243,1314674,2014
Europa,Bélgica,648,541307,2014
Europa,Bulgária,84,29865272,2014
Europa,Chipre,45,47339726,2014
Europa,Croácia,65,40538082,2014
Europa,Dinamarca,153,2518743,2014
Europa,Eslováquia,67,38169863,2014
Europa,Eslovênia,49,35071052,2014
Europa,Espanha,1175,927294,2014
Europa,Estônia,28,98551575,2014
Europa,Finlândia ,203,7822907,2014
Europa,França,1543,329488,2014
Europa,Grécia ,298,4939143,2014
Europa,Holanda,856,1299748,2014
Europa,Hungria,153,9795486,2014
Europa,Islândia,15,55845571,2014
Europa,Irlanda,138,1341687,2014
Europa,Itália,1179,948734,2014
Europa,Letônia,33,64555852,2014
Europa,Lituânia,51,01497534,2014
Europa,Luxemburgo,55,0814366,2014
Europa,Macedônia,18,5494126,2014
Europa,Noruega,214,2434412,2014
Europa,Polônia,520,8728011,2014
Europa,Portugal,235,1580715,2014
Europa,Reino Unido,1505,805609,2014
Europa,República Tcheca,194,1532377,2014
Europa,Romênia,183,5061644,2014
Europa,Suécia,285,8073561,2014
Europa,Suíça,223,6238178,2014
Europa,Turquia,770,9878904,2014
Europa,Ucrânia,219,1876138,2014
Europa,Outros,296,5669992,2014
Comunidade dos Estados Independentes,Azerbaijão,99,29695906,2014
Comunidade dos Estados Independentes,Belarus,162,8169918,2014
Comunidade dos Estados Independentes,Cazaquistão,261,8903567,2014
Comunidade dos Estados Independentes,Rússia,3297,778302,2014
Comunidade dos Estados Independentes,Turcomenistão,143,2779452,2014
Comunidade dos Estados Independentes,Uzbequistão,56,63473973,2014
Comunidade dos Estados Independentes,Outros,75,64571083,2014
Oriente Médio,Arábia Saudita,3764,052566,2014
Oriente Médio,Catar,293,9001598,2014
Oriente Médio,Coveite,455,2090294,2014
Oriente Médio,Emirados Árabes Unidos,879,6896058,2014
Oriente Médio,Irã,1901,193938,2014
Oriente Médio,Iraque,681,2867854,2014
Oriente Médio,Israel,213,6297627,2014
Oriente Médio,Omã,184,6824658,2014
Oriente Médio,Outros,619,4137304,2014
África,África do Sul,554,6232261,2014
África,África Central,273,249796,2014
África,África Ocidental,551,9247843,2014
África,África Oriental,501,1922018,2014
África,Argélia,400,6059452,2014
África,Egito,806,3996569,2014
África,Marrocos,271,8501373,2014
África,Outros Norte da África,357,4053671,2014
África,Outros Sul da África,55,38835765,2014
Ásia-Pacífico,Austrália,1020,678503,2014
Ásia-Pacífico,Bangladesh,120,3981055,2014
Ásia-Pacífico,China,11134,18273,2014
Ásia-Pacífico,Cingapura,1258,953364,2014
Ásia-Pacífico,Coreia do Sul,2454,287233,2014
Ásia-Pacífico,Hong Kong,335,7252432,2014
Ásia-Pacífico,Filipinas,335,8139934,2014
Ásia-Pacífico,Índia,3905,903796,2014
Ásia-Pacífico,Indonésia,1679,950194,2014
Ásia-Pacífico,Japão,4292,444683,2014
Ásia-Pacífico,Malásia,802,3722282,2014
Ásia-Pacífico,Nova Zelândia,156,0820798,2014
Ásia-Pacífico,Paquistão,457,9473822,2014
Ásia-Pacífico,Sri Lanka,70,59459608,2014
Ásia-Pacífico,Tailândia,1270,257079,2014
Ásia-Pacífico,Taiwan,1012,640499,2014
Ásia-Pacífico,Vietnã,409,0843273,2014
Ásia-Pacífico,Outros,387,7921523,2014
América do Norte,Canadá,2346,753193,2015
América do Norte,Estados Unidos,18523,67892,2015
América do Norte,México,1939,288594,2015
Américas Central e do Sul,Argentina,662,4208457,2015
Américas Central e do Sul,Brasil,2559,264608,2015
Américas Central e do Sul,Chile,355,4731352,2015
Américas Central e do Sul,Colômbia,331,3001346,2015
Américas Central e do Sul,Equador,253,7408991,2015
Américas Central e do Sul,Peru,237,3333711,2015
Américas Central e do Sul,Trinidad e Tobago,44,90226575,2015
Américas Central e do Sul,Venezuela,637,0211387,2015
Américas Central e do Sul,Outros,1216,655049,2015
Europa,Alemanha,2269,128603,2015
Europa,Áustria,242,1421306,2015
Europa,Bélgica,669,1195991,2015
Europa,Bulgária,94,57156124,2015
Europa,Chipre,46,46547907,2015
Europa,Croácia,67,9052,2015
Europa,Dinamarca,155,2471726,2015
Europa,Eslováquia,73,00219178,2015
Europa,Eslovênia,48,74554225,2015
Europa,Espanha,1218,792402,2015
Europa,Estônia,29,17607403,2015
Europa,Finlândia ,201,9871123,2015
Europa,França,1544,866215,2015
Europa,Grécia ,309,2645859,2015
Europa,Holanda,825,6041699,2015
Europa,Hungria,163,8056887,2015
Europa,Islândia,16,96879946,2015
Europa,Irlanda,144,0662204,2015
Europa,Itália,1227,311669,2015
Europa,Letônia,35,28871402,2015
Europa,Lituânia,55,41914521,2015
Europa,Luxemburgo,54,1531166,2015
Europa,Macedônia,19,93085666,2015
Europa,Noruega,219,265144,2015
Europa,Polônia,542,3743901,2015
Europa,Portugal,238,2729676,2015
Europa,Reino Unido,1552,443137,2015
Europa,República Tcheca,188,5706943,2015
Europa,Romênia,186,3793973,2015
Europa,Suécia,279,6137932,2015
Europa,Suíça,226,2230062,2015
Europa,Turquia,914,7154473,2015
Europa,Ucrânia,193,1065281,2015
Europa,Outros,306,5647288,2015
Comunidade dos Estados Independentes,Azerbaijão,99,53091043,2015
Comunidade dos Estados Independentes,Belarus,138,5230223,2015
Comunidade dos Estados Independentes,Cazaquistão,295,0069643,2015
Comunidade dos Estados Independentes,Rússia,3142,884038,2015
Comunidade dos Estados Independentes,Turcomenistão,144,6013699,2015
Comunidade dos Estados Independentes,Uzbequistão,52,69287671,2015
Comunidade dos Estados Independentes,Outros,78,37884642,2015
Oriente Médio,Arábia Saudita,3882,981136,2015
Oriente Médio,Catar,332,1160749,2015
Oriente Médio,Coveite,471,2943715,2015
Oriente Médio,Emirados Árabes Unidos,957,0320994,2015
Oriente Médio,Irã,1713,29616,2015
Oriente Médio,Iraque,683,1926523,2015
Oriente Médio,Israel,226,2791223,2015
Oriente Médio,Omã,184,0421918,2015
Oriente Médio,Outros,536,9753158,2015
África,África do Sul,578,4218561,2015
África,África Central,265,923623,2015
África,África Ocidental,564,3596725,2015
África,África Oriental,547,558201,2015
África,Argélia,424,976137,2015
África,Egito,834,2015503,2015
África,Marrocos,267,7937487,2015
África,Outros Norte da África,317,8777503,2015
África,Outros Sul da África,58,00046591,2015
Ásia-Pacífico,Austrália,985,2998403,2015
Ásia-Pacífico,Bangladesh,127,4797323,2015
Ásia-Pacífico,China,11911,16977,2015
Ásia-Pacífico,Cingapura,1328,243034,2015
Ásia-Pacífico,Coreia do Sul,2577,084658,2015
Ásia-Pacífico,Hong Kong,367,3922056,2015
Ásia-Pacífico,Filipinas,384,4563468,2015
Ásia-Pacífico,Índia,4230,43309,2015
Ásia-Pacífico,Indonésia,1558,200275,2015
Ásia-Pacífico,Japão,4137,957922,2015
Ásia-Pacífico,Malásia,750,777395,2015
Ásia-Pacífico,Nova Zelândia,162,7238376,2015
Ásia-Pacífico,Paquistão,505,3006481,2015
Ásia-Pacífico,Sri Lanka,89,56213877,2015
Ásia-Pacífico,Tailândia,1329,656216,2015
Ásia-Pacífico,Taiwan,1021,235455,2015
Ásia-Pacífico,Vietnã,452,1226162,2015
Ásia-Pacífico,Outros,424,7696426,2015
América do Norte,Canadá,2393,32596,2016
América do Norte,Estados Unidos,18617,64078,2016
América do Norte,México,1950,178577,2016
Américas Central e do Sul,Argentina,650,5083892,2016
Américas Central e do Sul,Brasil,2436,209409,2016
Américas Central e do Sul,Chile,377,0229636,2016
Américas Central e do Sul,Colômbia,342,9160245,2016
Américas Central e do Sul,Equador,239,1189784,2016
Américas Central e do Sul,Peru,249,7115099,2016
Américas Central e do Sul,Trinidad e Tobago,47,34634699,2016
Américas Central e do Sul,Venezuela,537,3325053,2016
Américas Central e do Sul,Outros,1255,466016,2016
Europa,Alemanha,2307,498743,2016
Europa,Áustria,249,8448032,2016
Europa,Bélgica,674,3281784,2016
Europa,Bulgária,95,3196817,2016
Europa,Chipre,50,52567432,2016
Europa,Croácia,68,20887432,2016
Europa,Dinamarca,152,771322,2016
Europa,Eslováquia,75,70434426,2016
Europa,Eslovênia,51,92060389,2016
Europa,Espanha,1262,142317,2016
Europa,Estônia,28,59514952,2016
Europa,Finlândia ,216,6020069,2016
Europa,França,1529,439955,2016
Europa,Grécia ,310,5211365,2016
Europa,Holanda,843,487496,2016
Europa,Hungria,161,099997,2016
Europa,Islândia,18,70727416,2016
Europa,Irlanda,149,7354754,2016
Europa,Itália,1236,479444,2016
Europa,Letônia,36,30282093,2016
Europa,Lituânia,59,92838251,2016
Europa,Luxemburgo,53,97135874,2016
Europa,Macedônia,22,14297377,2016
