REGIAO,PAIS,CONSUMO,CONSUMO_DECIMAL,ANO
Europa,Lituania,51,81053425,2013
Europa,Luxemburgo,57,10309055,2013
Europa,Macedonia,18,5861014,2013
Europa,Noruega,226,4162632,2013
Europa,Polonia,519,6169107,2013
Europa,Portugal,235,3231603,2013
Europa,Reino Unido,1504,83102,2013
Europa,Republica Tcheca,183,4312307,2013
Europa,Romenia,169,8372329,2013
Europa,Suecia,291,77853,2013
Europa,Suica,248,8650922,2013
Europa,Turquia,748,0284384,2013
Europa,Ucrania,255,5143233,2013
Europa,Outros,297,5641797,2013
Comunidade dos Estados Independentes,Azerbaijao,100,7533644,2013
Comunidade dos Estados Independentes,Belarus,143,2430685,2013
Comunidade dos Estados Independentes,Cazaquistao,260,4468248,2013
Comunidade dos Estados Independentes,Russia,3133,730818,2013
Comunidade dos Estados Independentes,Turcomenistao,137,370137,2013
Comunidade dos Estados Independentes,Uzbequistao,60,10019178,2013
Comunidade dos Estados Independentes,Outros,78,14917025,2013
Oriente Medio,Arabia Saudita,3451,480439,2013
Oriente Medio,Catar,287,320074,2013
Oriente Medio,Coveite,516,9446502,2013
Oriente Medio,Emirados Arabes Unidos,852,1499783,2013
Oriente Medio,Ira,2019,504827,2013
Oriente Medio,Iraque,716,0407397,2013
Oriente Medio,Israel,222,6165825,2013
Oriente Medio,Oma,178,2465753,2013
Oriente Medio,Outros,623,609084,2013
Africa,Africa do Sul,560,525317,2013
Africa,Africa Central,253,8024282,2013
Africa,Africa Ocidental,586,914774,2013
Africa,Africa Oriental,484,2047304,2013
Africa,Argelia,387,4057808,2013
Africa,Egito,755,8616425,2013
Africa,Marrocos,281,7932583,2013
Africa,Outros Norte da Africa,347,2209523,2013
Africa,Outros Sul da Africa,53,8922416,2013
Asia-Pacifico,Australia,1011,666681,2013
Asia-Pacifico,Bangladesh,107,6583233,2013
Asia-Pacifico,China,10667,7602,2013
Asia-Pacifico,Cingapura,1217,472187,2013
Asia-Pacifico,Coreia do Sul,2455,414082,2013
Asia-Pacifico,Hong Kong,351,5663742,2013
Asia-Pacifico,Filipinas,316,4258317,2013
Asia-Pacifico,India,3780,505313,2013
Asia-Pacifico,Indonesia,1662,306136,2013
Asia-Pacifico,Japao,4507,575828,2013
Asia-Pacifico,Malasia,801,642423,2013
Asia-Pacifico,Nova Zelandia,153,060404,2013
Asia-Pacifico,Paquistao,441,9035931,2013
Asia-Pacifico,Sri Lanka,82,03374373,2013
Asia-Pacifico,Tailandia,1266,639558,2013
Asia-Pacifico,Taiwan,981,1391262,2013
Asia-Pacifico,Vietna,397,8145483,2013
Asia-Pacifico,Outros,356,9583603,2013
America do Norte,Canada,2386,792135,2014
America do Norte,Estados Unidos,18136,21822,2014
America do Norte,Mexico,1959,694886,2014
Americas Central e do Sul,Argentina,642,8369197,2014
Americas Central e do Sul,Brasil,2721,187982,2014
Americas Central e do Sul,Chile,353,0863675,2014
Americas Central e do Sul,Colombia,315,2499736,2014
Americas Central e do Sul,Equador,260,1073034,2014
Americas Central e do Sul,Peru,216,4769456,2014
Americas Central e do Sul,Trinidad e Tobago,40,86330411,2014
Americas Central e do Sul,Venezuela,720,0131305,2014
Americas Central e do Sul,Outros,1150,260096,2014
Europa,Alemanha,2272,665479,2014
Europa,Austria,243,1314674,2014
Europa,Belgica,648,541307,2014
Europa,Bulgaria,84,29865272,2014
Europa,Chipre,45,47339726,2014
Europa,Croacia,65,40538082,2014
Europa,Dinamarca,153,2518743,2014
Europa,Eslovaquia,67,38169863,2014
Europa,Eslovenia,49,35071052,2014
Europa,Espanha,1175,927294,2014
Europa,Estonia,28,98551575,2014
